accommodation_id,name,capacity,quantity,price,discount_price,amenities,description,image,
6,Connecting Deluxe Room,4,15,11000000,9900000,"2 phòng deluxe thông nhau, 2 phòng tắm, tiện nghi cao cấp.","Sự lựa chọn hoàn hảo cho gia đình lớn hoặc nhóm bạn cần không gian riêng tư.",
7,Superior Room,2,50,1800000,1620000,"Wifi miễn phí, TV cáp, giường King/Twin, phòng tắm đứng.","Phòng tiêu chuẩn 4 sao, sạch sẽ, hiện đại, nằm ngay trung tâm Quận 1.",
7,Deluxe Room City View,2,35,2300000,2070000,"View thành phố, tiện nghi nâng cấp, minibar, két sắt an toàn.","Phòng thoải mái, tầm nhìn đẹp, ngay khu vực gần Dinh Độc Lập và Nhà thờ Đức Bà.",
7,Executive Room,3,18,3000000,2700000,"Phòng rộng rãi hơn, khu vực sofa, áo choàng tắm, máy pha cà phê.","Phòng dành cho khách muốn không gian làm việc hoặc thư giãn rộng hơn một chút.",
7,Blue Diamond Suite,4,6,4500000,4050000,"Phòng khách riêng nhỏ, 2 phòng ngủ (theo yêu cầu), dịch vụ phòng 24/7.","Căn suite tiện nghi, có thể linh hoạt sắp xếp giường ngủ cho gia đình.",
8,Standard Twin Room,2,35,900000,810000,"Wifi, TV, điều hòa, phòng tắm riêng.","Phòng cơ bản, phù hợp với ngân sách tiết kiệm, nằm ở trung tâm Quận 3.",
8,Deluxe Double Room,2,25,1200000,1080000,"Phòng rộng hơn Standard, cửa sổ (hạn chế), minibar.","Phòng thoải mái hơn một chút, gần các khu vực ăn uống và mua sắm của Quận 3.",
8,Triple Room,3,12,1600000,1440000,"Phòng ngủ 3 người, 3 giường đơn, TV màn hình lớn.","Giải pháp lưu trú kinh tế cho nhóm 3 người, với không gian đủ dùng.",
8,Family Room,4,10,2000000,1800000,"2 giường đôi lớn hoặc 4 giường đơn, phòng tắm rộng.","Phòng lý tưởng cho gia đình hoặc nhóm 4 người, mang lại sự tiện nghi cơ bản.",
9,Studio Apartment,2,30,1500000,1350000,"Bếp nhỏ tiện nghi, tủ lạnh lớn, khu vực giặt là chung, TV cáp.","Căn hộ studio hiện đại, phù hợp cho cặp đôi hoặc khách lưu trú dài ngày.",
9,One-Bedroom Apartment,2,24,2200000,1980000,"Phòng ngủ và phòng khách riêng, bếp đầy đủ dụng cụ, ban công.","Không gian sống tách biệt, lý tưởng cho những người cần sự riêng tư và không gian làm việc.",
9,Two-Bedroom Apartment,4,16,3500000,3150000,"2 phòng ngủ riêng biệt, phòng khách/ăn uống lớn, bếp đầy đủ.","Căn hộ rộng rãi cho gia đình hoặc nhóm bạn, mang lại cảm giác như ở nhà.",
9,Penthouse Suite,4,4,6000000,5400000,"View thành phố đẹp, nội thất cao cấp, sân thượng riêng (tùy căn), dịch vụ dọn phòng nâng cao.","Căn hộ cao cấp nhất với tầm nhìn thoáng đãng và tiện nghi hiện đại.",
10,Standard Double Room,2,80,800000,720000,"Wifi miễn phí, TV, điều hòa, phòng tắm đứng.","Phòng cơ bản, sạch sẽ, giá cả phải chăng, rất gần Chợ Bến Thành.",
10,Deluxe Twin Room,2,50,1000000,900000,"Phòng rộng hơn, cửa sổ hướng ra phố (có thể hơi ồn), minibar.","Phòng tiêu chuẩn phổ thông, phù hợp với du khách tìm kiếm sự tiện lợi về vị trí.",
10,Triple Room,3,25,1400000,1260000,"3 giường đơn, tiện nghi cơ bản, thích hợp cho nhóm du lịch.","Lựa chọn kinh tế cho nhóm 3 người muốn ở chung phòng.",
10,Family Room (4 Pax),4,18,1800000,1620000,"Phòng rộng rãi cho 4 người, 2 giường đôi hoặc 4 giường đơn (theo yêu cầu).","Phòng gia đình có sức chứa 4 người, đảm bảo sự thoải mái cơ bản.",
11,Deluxe Double City View,2,55,3800000,3420000,"Wifi miễn phí, TV màn hình phẳng, bồn tắm/vòi sen riêng biệt, tiện nghi cao cấp.","Phòng nghỉ sang trọng, thoải mái, lý tưởng để thư giãn sau một ngày khám phá khu vực Quận 5.",
11,Executive Suite,2,20,6500000,5850000,"Phòng khách riêng, máy pha cà phê Nespresso, quyền lợi Executive Lounge (cocktail, ăn sáng).","Căn suite đẳng cấp, mang lại không gian làm việc và nghỉ ngơi rộng rãi cùng các dịch vụ ưu tiên.",
11,Family Triple Room,3,12,5000000,4500000,"Một giường King và một giường đơn, tầm nhìn đẹp, khu vực ngồi riêng.","Phòng rộng rãi được thiết kế đặc biệt cho gia đình có 3 thành viên, đảm bảo sự thoải mái.",
11,Windsor Suite,4,4,12000000,10800000,"2 phòng ngủ, phòng ăn, quản gia cá nhân, tiện nghi xa xỉ.","Căn suite lớn nhất với dịch vụ và tiện nghi 5 sao, lý tưởng cho những vị khách yêu cầu sự riêng tư tuyệt đối.",
12,Standard Double/Twin,2,40,1100000,990000,"Wifi, TV, điều hòa, phòng tắm riêng cơ bản, ấm đun nước.","Phòng tiêu chuẩn, sạch sẽ, nằm ngay khu vực Chợ Lớn sầm uất, thuận tiện khám phá văn hóa ẩm thực.",
12,Superior Room with View,2,25,1400000,1260000,"Phòng có cửa sổ lớn hướng phố Chợ Lớn, tiện nghi tốt hơn Standard.","Phòng nghỉ yên tĩnh hơn với tầm nhìn ra khu phố người Hoa độc đáo.",
12,Triple Room,3,14,1800000,1620000,"Phòng cho 3 người, giường King và Single, không gian hợp lý.","Lựa chọn phù hợp cho nhóm bạn nhỏ hoặc gia đình du lịch tiết kiệm.",
12,Family Room (4 Pax),4,10,2200000,1980000,"Phòng gia đình có 2 giường đôi, không gian rộng rãi.","Phòng tiện nghi cơ bản, phù hợp cho 4 người lớn muốn ở chung phòng.",
13,Single Room,1,15,500000,450000,"Quạt/Điều hòa (tùy phòng), TV, phòng tắm nhỏ, cơ bản.","Phòng đơn giá rẻ nhất, chỉ phù hợp cho khách du lịch đơn hoặc cần chỗ nghỉ ngắn ngày.",
13,Standard Double Room,2,25,700000,630000,"Wifi miễn phí, TV cáp, điều hòa, nước suối miễn phí.","Phòng đôi cơ bản, thích hợp cho khách du lịch ngân sách thấp, gần các tiện ích công cộng.",
13,Twin Room with Window,2,18,900000,810000,"Phòng có cửa sổ nhỏ, 2 giường đơn, sạch sẽ.","Phòng được nâng cấp nhẹ, có cửa sổ thoáng hơn so với phòng Standard.",
13,Quad Room,4,6,1500000,1350000,"4 giường đơn hoặc 2 giường đôi, tiện nghi cơ bản.","Phòng ngủ cho 4 người, lựa chọn kinh tế cho nhóm.",
14,Budget Double Room,2,20,650000,585000,"Wifi, TV, quạt, phòng tắm riêng, giá cực kỳ phải chăng.","Khách sạn nhỏ, giá rẻ, phòng đơn giản, phù hợp cho khách không cầu kỳ.",
14,Superior Twin Room,2,18,850000,765000,"Phòng sạch sẽ, điều hòa, gần các tuyến giao thông chính.","Phòng có mức giá tốt, tiện lợi di chuyển đến các khu vực trung tâm.",
14,Small Family Room,3,8,1200000,1080000,"3 người, tiện nghi cơ bản, khu vực để hành lý nhỏ.","Phòng 3 người đơn giản, phục vụ nhu cầu nghỉ ngơi cơ bản.",
14,Connecting Room,4,5,1700000,1530000,"2 phòng tiêu chuẩn thông nhau (2 cửa), 2 phòng tắm.","Lựa chọn tiết kiệm cho gia đình 4 người, đảm bảo sự riêng tư.",
15,Standard Heritage Room,2,22,1000000,900000,"Wifi, TV, phòng tắm đứng, thiết kế kiến trúc cổ.","Phòng cơ bản với nét kiến trúc đặc trưng của khu Chợ Lớn.",
15,Deluxe Room with Antique Furnishing,2,15,1300000,1170000,"Nội thất gỗ cổ điển, bồn tắm (tùy phòng), không gian ấm cúng.","Phòng được trang bị nội thất mang phong cách truyền thống, độc đáo.",
15,Business Room,2,10,1600000,1440000,"Bàn làm việc lớn, đèn đọc sách, yên tĩnh, thích hợp cho khách công tác.","Phòng được tối ưu cho khách đi công tác, có không gian làm việc thoải mái.",
15,Bat Dat Family Suite,4,5,2800000,2520000,"Phòng khách nhỏ, 2 phòng ngủ (hoặc 1 phòng lớn), nội thất cổ.","Căn suite lớn, mang đậm dấu ấn kiến trúc cũ, phù hợp cho gia đình.",
16,Superior Room Garden View,2,50,3000000,2700000,"Wifi, TV, minibar, bồn tắm/vòi sen, tầm nhìn ra khu vườn xanh mát.","Phòng nghỉ 5 sao, yên tĩnh với view vườn, gần khu Phú Mỹ Hưng.",
16,Deluxe Room Pool Access,2,35,4500000,4050000,"Lối đi thẳng ra hồ bơi, tiện nghi nâng cấp, ghế nghỉ ngoài trời.","Trải nghiệm nghỉ dưỡng đặc biệt, thuận tiện cho việc bơi lội và thư giãn.",
16,Equatorial Executive Club,2,20,6500000,5850000,"Quyền lợi Club Lounge, ưu đãi check-in, rượu, cocktail tối miễn phí.","Phòng dành cho khách ưu tiên, với dịch vụ cá nhân hóa và tiện nghi cao cấp.",
16,Presidential Suite,4,2,25000000,22500000,"Không gian sang trọng tối đa, phòng khách lớn, phòng ăn, bếp nhỏ, quản gia riêng.","Căn suite cao cấp nhất, lý tưởng cho khách VIP hoặc tổ chức sự kiện riêng.",
17,Standard Double Room,2,45,1600000,1440000,"Wifi, TV, phòng tắm hiện đại, tiện nghi cơ bản 4 sao.","Phòng tiêu chuẩn trong một trung tâm hội nghị, phù hợp cho khách tham dự sự kiện.",
17,Crystal Deluxe King,2,30,2200000,1980000,"Thiết kế Châu Âu, giường King, không gian thoáng đãng.","Phòng có kiến trúc đẹp, mang lại cảm giác sang trọng và thoải mái.",
17,Executive Room,2,18,3000000,2700000,"Phòng rộng rãi, bàn làm việc lớn, view đẹp ra khu đô thị.","Thích hợp cho khách công tác, gần khu vực trung tâm thương mại Quận 7.",
17,Merperle Family Suite,4,8,5000000,4500000,"2 phòng ngủ hoặc căn hộ lớn, phòng khách nhỏ, tiện nghi gia đình.","Suite dành cho gia đình, cung cấp không gian nghỉ ngơi tiện nghi và thoải mái.",
18,Studio Premier Apartment,2,40,2800000,2520000,"Bếp nhỏ đầy đủ, khu vực giặt là, dịch vụ dọn phòng hàng ngày, phòng tập gym.","Căn hộ studio cao cấp, phù hợp cho cá nhân hoặc cặp đôi lưu trú dài ngày tại khu vực xanh Quận 7.",
18,One-Bedroom Deluxe,2,30,4000000,3600000,"Phòng ngủ và phòng khách tách biệt, bếp đầy đủ, máy rửa chén (tùy căn), ban công.","Căn hộ rộng rãi, mang lại cảm giác tiện nghi như ở nhà, với dịch vụ khách sạn.",
18,Two-Bedroom Executive,4,18,6500000,5850000,"2 phòng ngủ, 2 phòng tắm, phòng khách và phòng ăn lớn, tiện nghi 5 sao.","Lý tưởng cho gia đình 4 người hoặc 2 cặp đôi, tận hưởng môi trường sống cao cấp.",
18,Three-Bedroom Penthouse,6,6,12000000,10800000,"3 phòng ngủ, sân thượng riêng, tầm nhìn tuyệt đẹp, nội thất sang trọng.","Căn hộ lớn nhất, phù hợp cho gia đình đông người hoặc khách VIP.",
19,Standard Queen Room,2,60,1200000,1080000,"Thiết kế trẻ trung, TV, giường Queen, phòng tắm đứng.","Phòng tiêu chuẩn quốc tế, giá cả phải chăng, gần SECC và các khu mua sắm.",
19,Family Twin Room,4,20,1800000,1620000,"2 giường đôi, không gian màu sắc, phù hợp cho gia đình có trẻ nhỏ.","Phòng gia đình với thiết kế hiện đại, vui vẻ, tiện nghi cơ bản đầy đủ.",
19,ibis Superior Room,2,25,1500000,1350000,"Phòng rộng rãi hơn, view thành phố (tùy chọn), tiện nghi nâng cấp.","Phòng dành cho khách muốn có không gian làm việc hoặc nghỉ ngơi rộng rãi hơn.",
19,Long Stay Apartment,2,10,2500000,2250000,"Căn hộ nhỏ, có khu vực bếp cơ bản, thích hợp lưu trú trên 7 đêm.","Lựa chọn tiết kiệm cho khách công tác hoặc du lịch dài ngày.",
20,Studio Room,2,35,1400000,1260000,"Tiện nghi căn hộ cơ bản, bếp nhỏ, ban công, an ninh tốt.","Căn hộ studio trong khu đô thị Phú Mỹ Hưng, môi trường sống an toàn.",
20,One-Bedroom Apartment,2,28,2000000,1800000,"Phòng ngủ riêng biệt, phòng khách/ăn, bếp, thích hợp cho cặp đôi.","Căn hộ dịch vụ phổ thông, cung cấp sự riêng tư và tiện nghi gia đình.",
20,Two-Bedroom Apartment,4,18,3200000,2880000,"2 phòng ngủ, đầy đủ tiện nghi gia đình, gần các công viên và trường học.","Lựa chọn lý tưởng cho gia đình du lịch hoặc công tác tại khu vực Quận 7.",
20,Premium River View Apt,4,8,4500000,4050000,"Căn hộ cao cấp hơn, tầm nhìn đẹp ra sông hoặc công viên, nội thất hiện đại.","Phòng căn hộ có vị trí và tầm nhìn tốt nhất trong khu vực.",
21,Deluxe Room City View,2,70,5500000,4950000,"Wifi tốc độ cao, TV 65-inch, bồn tắm lớn, tầm nhìn thành phố tuyệt đẹp.","Phòng nghỉ sang trọng với tầm nhìn ngoạn mục từ tòa nhà cao nhất Việt Nam, nội thất đẳng cấp.",
21,Executive Suite River View,2,25,9500000,8550000,"Phòng khách riêng, ban công (tùy phòng), view sông Sài Gòn, dịch vụ quản gia cá nhân.","Căn suite có tầm nhìn hoàn hảo ra sông, tiện nghi cao cấp, mang lại trải nghiệm nghỉ dưỡng xa xỉ.",
21,Club InterContinental Room,2,30,13000000,11700000,"Quyền lợi Club InterContinental (ăn sáng, trà chiều, cocktail tối), check-in/out riêng.","Phòng dành cho khách ưu tiên, tận hưởng tất cả các dịch vụ độc quyền tại Club Lounge.",
21,Presidential Suite (81st Floor),4,1,50000000,45000000,"2 phòng ngủ, phòng ăn riêng, bếp, quầy bar, tiện nghi Hermès, xe đưa đón Rolls Royce (theo yêu cầu).","Trải nghiệm nghỉ dưỡng đắt giá nhất, với không gian và dịch vụ không giới hạn.",
22,Classic Double Room,2,22,1500000,1350000,"Wifi, TV, điều hòa, phòng tắm đứng, sách và không gian đọc yên tĩnh.","Phòng nhỏ gọn, sạch sẽ, với thiết kế theo chủ đề thư viện độc đáo, mang lại cảm giác ấm cúng.",
22,Deluxe Corner Room,2,14,2000000,1800000,"2 cửa sổ lớn, ánh sáng tự nhiên, bàn làm việc/đọc sách, view phố.","Phòng góc rộng rãi hơn, có nhiều ánh sáng, lý tưởng cho những người yêu thích đọc sách.",
22,The Alcove Suite,3,6,3200000,2880000,"Phòng khách nhỏ, bồn tắm, sách hiếm, nội thất boutique tinh tế.","Căn suite được trang trí độc đáo theo phong cách cổ điển, thích hợp cho sự lãng mạn.",
22,Family Studio,4,5,4000000,3600000,"2 giường đôi hoặc 4 giường đơn, khu vực đọc sách chung, tiện nghi gia đình.","Phòng lớn, được thiết kế để gia đình hoặc nhóm bạn có thể cùng nhau tận hưởng không gian.",
23,Standard Room,2,40,700000,630000,"Wifi miễn phí, TV cáp, điều hòa, phòng tắm nhỏ.","Phòng cơ bản, giá rẻ, phù hợp cho khách du lịch ngân sách thấp, gần khu vực trường đại học.",
23,Superior Room,2,25,900000,810000,"Phòng rộng hơn Standard, sạch sẽ, giường thoải mái.","Phòng chất lượng tốt hơn một chút, đủ tiện nghi cho nhu cầu nghỉ ngơi cơ bản.",
23,Twin Room with Window,2,18,1100000,990000,"2 giường đơn, có cửa sổ thoáng, gần các khu ẩm thực địa phương.","Phòng có cửa sổ, tiện lợi cho khách du lịch hoặc công tác ngắn ngày.",
23,Triple Room,3,12,1500000,1350000,"3 người, tiện nghi cơ bản, giải pháp kinh tế cho nhóm 3.","Phòng ba người, đơn giản và hiệu quả về chi phí.",
24,Studio Apartment,2,26,1400000,1260000,"Bếp nhỏ, tủ lạnh, khu vực làm việc, thiết kế tối giản, hiện đại.","Căn hộ studio nhỏ, phù hợp cho khách công tác dài ngày, có thể tự nấu ăn.",
24,One-Bedroom Apartment,2,20,2100000,1890000,"Phòng ngủ tách biệt, phòng khách, bếp đầy đủ dụng cụ.","Căn hộ 1 phòng ngủ, mang lại sự riêng tư và tiện nghi gia đình cơ bản.",
24,Two-Bedroom Apartment,4,14,3500000,3150000,"2 phòng ngủ riêng, không gian sống rộng rãi, đầy đủ tiện nghi.","Lý tưởng cho gia đình 4 người hoặc đồng nghiệp ở chung.",
24,Loft Apartment,2,10,2800000,2520000,"Thiết kế gác lửng độc đáo, không gian mở, trần cao.","Căn hộ có thiết kế đặc biệt, phù hợp với những người trẻ yêu thích sự mới lạ.",
25,Budget Double Room,2,18,550000,495000,"Phòng đơn giản, quạt/điều hòa (tùy chọn), gần khu Thanh Đa thoáng mát.","Phòng rẻ nhất, phù hợp cho khách du lịch cực kỳ tiết kiệm ngân sách.",
25,Standard Twin Room,2,16,750000,675000,"Phòng sạch sẽ cơ bản, khu vực yên tĩnh của bán đảo Thanh Đa.","Phòng tiêu chuẩn, nơi nghỉ chân thoải mái, gần sông Sài Gòn.",
25,Triple Room,3,10,1100000,990000,"3 người, tiện nghi cơ bản, không gian đủ dùng.","Phòng ba người, phục vụ nhu cầu nghỉ ngơi cơ bản.",
25,Family Quad Room,4,6,1400000,1260000,"4 người, 2 giường đôi, giải pháp kinh tế cho gia đình nhỏ.","Phòng gia đình đơn giản, thích hợp để tiết kiệm chi phí.",
26,Deluxe Room City View,2,55,2500000,2250000,"Wifi miễn phí, TV, bồn tắm lớn, view thành phố Tân Bình.","Phòng nghỉ 4 sao chất lượng cao, gần sân bay, tiện nghi đầy đủ.",
26,Executive Suite,2,18,4000000,3600000,"Phòng khách riêng, bàn làm việc, tiện nghi nâng cấp, quyền lợi Executive Lounge.","Căn suite rộng rãi, lý tưởng cho khách công tác cần không gian riêng để làm việc.",
26,Family Connecting Room,4,12,5500000,4950000,"2 phòng thông nhau, 2 phòng tắm, giường King và Twin.","Lựa chọn hoàn hảo cho gia đình lớn hoặc nhóm bạn cần sự tiện nghi và riêng tư.",
26,Presidential Suite,4,2,10000000,9000000,"Phòng sang trọng nhất, nội thất cao cấp, khu vực tiếp khách và ăn uống riêng biệt.","Suite cao cấp, cung cấp dịch vụ và tiện nghi 5 sao (mặc dù là KS 4 sao), lý tưởng cho khách VIP.",
27,Superior Room,2,70,2800000,2520000,"Thiết kế hiện đại, TV màn hình phẳng, tiện nghi quốc tế, gần sân bay.","Phòng tiêu chuẩn của Novotel, chất lượng dịch vụ đảm bảo.",
27,Executive Room,2,25,4200000,3780000,"Quyền lợi Executive Lounge (ăn sáng, cocktail tối), view cao, máy pha cà phê.","Phòng dành cho khách ưu tiên, với dịch vụ độc quyền và tầm nhìn đẹp.",
27,Novotel Suite,4,15,6500000,5850000,"Phòng khách riêng, bếp nhỏ, sofa bed, thiết kế tiện dụng.","Căn suite lớn, có thể chứa 4 người, phù hợp cho gia đình hoặc lưu trú dài ngày.",
27,Day Use Room (4 hours),2,20,1500000,1350000,"Sử dụng phòng trong 4 giờ, phù hợp cho khách quá cảnh cần nghỉ ngơi nhanh.","Dịch vụ đặc biệt cho khách transit, giá cả linh hoạt theo giờ.",
28,Studio Apartment,2,32,1300000,1170000,"Bếp nhỏ, TV, giường King, gần sân bay, có dịch vụ xe đưa đón.","Căn hộ studio tiện lợi, phù hợp cho khách quá cảnh hoặc lưu trú ngắn.",
28,One-Bedroom Apartment,2,24,1900000,1710000,"Phòng ngủ và phòng khách riêng, bếp đầy đủ, tiện nghi gia đình.","Căn hộ dịch vụ với không gian tách biệt, tạo cảm giác thoải mái như ở nhà.",
28,Family Connecting Apartment,4,10,3000000,2700000,"2 căn hộ studio thông nhau, 2 phòng tắm, thích hợp cho gia đình 4 người.","Lựa chọn linh hoạt cho gia đình cần không gian riêng biệt.",
28,Day Use Room (6 hours),2,18,1000000,900000,"Sử dụng phòng trong 6 giờ, có xe đưa đón sân bay.","Giải pháp kinh tế cho khách quá cảnh hoặc cần nghỉ ngơi giữa các chuyến bay.",
29,Standard Single Room,1,12,450000,405000,"Phòng đơn nhỏ, tiện nghi cơ bản, giá cực rẻ, gần khu công nghiệp.","Phòng dành cho khách du lịch đơn hoặc công nhân viên cần chỗ nghỉ ngắn ngày.",
29,Double Room,2,20,650000,585000,"Phòng đôi sạch sẽ, điều hòa, đủ tiện nghi cơ bản.","Phòng kinh tế, chất lượng sạch sẽ, phù hợp với ngân sách thấp.",
29,Twin Room with City View,2,10,800000,720000,"Phòng có cửa sổ, view thành phố Tân Bình (hạn chế), sạch sẽ.","Phòng được nâng cấp nhẹ, có cửa sổ thoáng hơn.",
29,Family Quad Room,4,5,1300000,1170000,"4 người, 2 giường đôi, tiện nghi cơ bản.","Phòng cho gia đình/nhóm 4 người, giải pháp lưu trú rất tiết kiệm.",
30,Standard Room,2,90,2200000,1980000,"Phòng tiêu chuẩn Ibis, TV, phòng tắm hiện đại, cách sân bay vài bước chân.","Vị trí không thể thuận tiện hơn, lý tưởng cho khách bay sớm hoặc đáp chuyến muộn.",
30,Family Twin Room,4,25,3500000,3150000,"2 giường đôi lớn, không gian gia đình, TV màn hình lớn.","Phòng phù hợp cho gia đình 4 người, tận hưởng sự tiện lợi sát sân bay.",
30,Day Use Room (6 hours),2,40,1300000,1170000,"Sử dụng phòng trong 6 giờ, lý tưởng cho khách quá cảnh.","Dịch vụ linh hoạt theo giờ cho khách cần nghỉ ngơi nhanh trước hoặc sau chuyến bay.",
30,Connecting Room,4,15,4400000,3960000,"2 phòng Standard thông nhau, 2 phòng tắm, tiện nghi đầy đủ.","Lựa chọn tối ưu cho gia đình muốn ở gần nhau nhưng vẫn đảm bảo sự riêng tư.",
31,Superior Double/Twin,2,65,1800000,1620000,"Wifi miễn phí, TV, phòng tắm đứng, tiện nghi cơ bản 4 sao.","Phòng nghỉ tiêu chuẩn, sạch sẽ, nằm trên trục đường chính Quận 1, thuận tiện di chuyển.",
31,Deluxe Room City View,2,40,2500000,2250000,"View thành phố (hoặc một phần sông), bồn tắm, minibar, trà/cà phê.","Phòng có tầm nhìn đẹp, mang lại không gian thoải mái và thư giãn.",
31,Executive Suite,3,12,4000000,3600000,"Phòng khách nhỏ, giường cỡ King, tiện nghi nâng cấp, dịch vụ phòng 24/7.","Căn suite rộng rãi, lý tưởng cho khách công tác hoặc gia đình nhỏ tìm kiếm sự thoải mái.",
31,Family Connecting Room,4,10,5500000,4950000,"2 phòng thông nhau, 2 phòng tắm, tiện ích đầy đủ cho gia đình.","Giải pháp lưu trú cho gia đình lớn, đảm bảo không gian riêng tư và tiện nghi.",
